#{"t_start": 1765838208.0316541, "env_id": "None"}
r,l,t
-17.63777,100,54.929822
-22.961422,100,54.956323
-20.410247,100,54.9714
-22.528166,100,55.002078
-15.969809,100,55.021276
-16.251534,100,55.043186
-20.030436,100,55.066401
-19.852553,100,55.087435
-22.036613,100,55.10439
-23.87201,100,55.121506
-24.661451,100,55.146282
-23.343791,100,55.169008
-21.631265,100,55.187428
-17.597612,100,55.879543
-17.020448,100,55.904507
-23.11276,100,55.921382
-21.528253,100,55.946627
-19.297779,100,55.975142
-18.583387,100,55.995756
-16.187492,100,56.012799
-21.17096,100,56.029702
-16.859715,100,56.06038
-13.421767,86,56.07115
-21.706949,100,56.103246
-17.409811,100,56.122923
-18.503172,100,56.141664
-10.249532,56,56.155408
-21.142631,100,56.170741
-21.446437,100,56.199348
-19.379606,100,56.222981
-25.812986,100,56.242645
-11.614077,49,56.246539
-20.667242,100,56.2713
-14.530945,100,56.287453
-20.618188,100,57.062427
-16.35253,100,57.079555
-19.90977,100,57.101054
-19.483178,100,57.122934
-17.924177,100,57.144314
-12.968218,100,57.171517
-17.480907,100,57.195976
-17.356412,100,57.213102
-17.713454,100,57.238851
-0.069926,2,57.238851
-15.870565,100,57.256325
-16.929612,100,57.271209
-18.49771,100,57.30311
-22.017109,100,57.325075
-19.442716,100,57.344768
-16.743779,100,57.367903
-18.328281,100,57.387457
-16.498879,100,57.414494
-21.050963,100,57.479549
-13.598145,68,57.487923
-16.447112,100,57.512521
-15.314874,100,57.535666
